ship_date,customer_name,sku,lot_number,qty,unit,order_reference,sales_order_id,sales_order_line_id,bol_number,entered_by,created_at
2026-05-28,Inter-County Bakers,10020,26-02-12-FOUND-011,500.0000,lb,,164,373,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,Inter-County Bakers,10300,MAY 19 2026,500.0000,lb,,164,374,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,Inter-County Bakers,10304,26-02-10-CREA-002,2000.0000,lb,,164,375,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,PDI Cone,10029,2026-04-20,1250.0000,lb,,118,254,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,PDI Cone,10029,MAY 04 2026,1850.0000,lb,,118,254,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,PDI Cone,10029,MAY 11 2026,1875.0000,lb,,118,254,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,PDI Cone,10029,MAY 15 2026,1850.0000,lb,,118,254,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,PDI Cone,10029,MAY 25 2026,1875.0000,lb,,118,254,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,PDI Cone,10029,MAY 26 2026,1850.0000,lb,,118,254,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-05-28,PDI Cone,10029,MAY 18 2026,1450.0000,lb,,118,254,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,CRS One Source,10302,261212585122,880.0000,lb,,168,387,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,CRS One Source,67476,MAR 31 2026,870.0000,lb,,168,388,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,CRS One Source,67476,APR 13 2026 lot,330.0000,lb,,168,388,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,CRS One Source,67470,APR 27 2026,380.0000,lb,,168,389,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,CRS One Source,67470,APR 10 2026 Lot,400.0000,lb,,168,389,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,CRS One Source,67470,MAY 21 2026,20.0000,lb,,168,389,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,CRS One Source,31012,605081,800.0000,lb,,168,390,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 14 2026,4200.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 18 2026,2800.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 19 2026,4200.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 20 2026,4200.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 26 2026,1400.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 27 2026,4200.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 29 2026,4200.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,893,MAY 31 2026,2800.0000,lb,,141,305,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,1614,MAY 19 2026,2800.0000,lb,,141,372,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,1614,MAY 20 2026,4200.0000,lb,,141,372,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,RESTAURANT DEPOT/Jetro Haines City #407,1614,MAY 21 2026,1400.0000,lb,,141,372,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,"Janco Foods, Inc.",10020,26-02-12-FOUND-011,300.0000,lb,,170,397,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,"Janco Foods, Inc.",10020,2026-04-21,825.0000,lb,,170,397,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-01,"Janco Foods, Inc.",31012,605291,250.0000,lb,,170,398,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-02,Ace Endico,67470,MAY 21 2026,1400.0000,lb,,156,350,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-02,Ace Endico,67473,2026-04-17,220.0000,lb,,156,351,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-02,Ace Endico,67473,APR 27 2026,350.0000,lb,,156,351,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-02,Ace Endico,67473,MAY 21 2026,30.0000,lb,,156,351,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-02,Ace Endico,10304,26-02-10-CREA-002,200.0000,lb,,156,469,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-03,Kohl Wholesale Dist.,10302,261212585122,1980.0000,lb,,169,392,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-03,Kohl Wholesale Dist.,10303,25132,120.0000,lb,,169,393,,legacy-unattributed,2026-08-11 14:32:52.187878+00
2026-06-03,Kohl Wholesale Dist.,67476,APR 13 2026 lot,600.0000,lb,,169,394,,legacy-unattributed,2026-08-11 14:32:52.187878+00
