"screen","engine","variant","screenshot","gap","error","ACCESS-008","TOUCH-003","INPUT-010","INPUT-006 / ACCESS-003","ACTION-007 / ACTION-008","LAYOUT-013 / LAYOUT-014","DATA-003/004 · LAYOUT-003","FEEDBACK-011"
"S-01","chromium","390x844-light","screenshots/chromium/390x844-light/S-01.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-01","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-01.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-01","chromium","844x390-light","screenshots/chromium/844x390-light/S-01.png","","","PASS","PASS","NA","NA","NA","FAIL","NA","NA"
"S-01","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-01.png","","","PASS","PASS","NA","NA","NA","FAIL","NA","NA"
"S-01","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-01.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-01","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-01.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-01","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-01.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-01","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-01.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-02","chromium","390x844-light","screenshots/chromium/390x844-light/S-02.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-02","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-02.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-02","chromium","844x390-light","screenshots/chromium/844x390-light/S-02.png","","","U","PASS","NA","NA","NA","FAIL","NA","NA"
"S-02","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-02.png","","","U","PASS","NA","NA","NA","FAIL","NA","NA"
"S-02","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-02.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-02","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-02.png","","","U","PASS","NA","NA","NA","PASS","NA","NA"
"S-02","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-02.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-02","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-02.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-03","chromium","390x844-light","screenshots/chromium/390x844-light/S-03.png","","","U","PASS","PASS","PASS","NA","PASS","PASS","U"
"S-03","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-03.png","","","U","PASS","PASS","PASS","NA","PASS","PASS","U"
"S-03","chromium","844x390-light","screenshots/chromium/844x390-light/S-03.png","","","U","FAIL","PASS","PASS","NA","FAIL","PASS","U"
"S-03","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-03.png","","","U","FAIL","PASS","PASS","NA","FAIL","PASS","U"
"S-03","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-03.png","","","U","PASS","PASS","PASS","NA","PASS","PASS","U"
"S-03","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-03.png","","","U","PASS","PASS","PASS","NA","PASS","PASS","U"
"S-03","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-03.png","","","U","PASS","PASS","PASS","NA","PASS","PASS","U"
"S-03","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-03.png","","","U","PASS","PASS","PASS","NA","PASS","PASS","U"
"S-04","chromium","390x844-light","screenshots/chromium/390x844-light/S-04.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","PASS","NA"
"S-04","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-04.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","PASS","NA"
"S-04","chromium","844x390-light","screenshots/chromium/844x390-light/S-04.png","","","U","FAIL","PASS","FAIL","NA","FAIL","PASS","NA"
"S-04","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-04.png","","","U","FAIL","PASS","FAIL","NA","FAIL","PASS","NA"
"S-04","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-04.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","PASS","NA"
"S-04","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-04.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","PASS","NA"
"S-04","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-04.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","PASS","NA"
"S-04","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-04.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","PASS","NA"
"S-05","chromium","390x844-light","screenshots/chromium/390x844-light/S-05.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-05","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-05.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-05","chromium","844x390-light","screenshots/chromium/844x390-light/S-05.png","","","PASS","PASS","NA","NA","NA","FAIL","NA","NA"
"S-05","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-05.png","","","PASS","PASS","NA","NA","NA","FAIL","NA","NA"
