odoo_code,name,bake_line,pack_format,unit_size_oz,unit_size_lb,units_per_case,case_size_lb,default_batch_lb,cases_per_pan,is_copack
70079,BS Almond Butter Granola – 6x7 OZ Case,Blue Stripes,pouch,7,,,2.63,,,false
70086,BS Almond Butter Granola – 6x8 OZ Case,Blue Stripes,pouch,8,,,3,,,false
70074,BS Granola – Dark Chocolate – 6x7 OZ Case,Blue Stripes,pouch,7,,,2.63,,,false
70087,BS Granola – Dark Chocolate – 6x8 OZ Case,Blue Stripes,pouch,8,,,3,,,false
70080,BS Granola – Hazelnut Butter – 6x7 OZ Case,Blue Stripes,pouch,7,,,2.63,,,false
70085,BS Granola – Hazelnut Butter – 6x8 OZ Case,Blue Stripes,pouch,8,,,3,,,false
70073,BS Granola – Peanut Butter Banana – 6x7 OZ Case,Blue Stripes,pouch,7,,,2.63,,,false
70088,BS Granola – Peanut Butter Banana – 6x8 OZ Case,Blue Stripes,pouch,8,,,3,,,false
70051,Coconut Chips 25 LB,—,25 lb box,,25,1,25,,,false
10006,Coconut Sweetened Fancy CNS 10 LB,—,10 lb box,,10,1,10,,,false
10007,Coconut Sweetened Fancy CNS 25 LB,—,25 lb box,,25,1,25,,,false
67470,Coconut Sweetened Fancy UNIPRO 10 LB,—,10 lb box,,10,1,10,,,false
10001,Coconut Sweetened Flake CNS 10 LB,—,10 lb box,,10,1,10,,,false
10020,Coconut Sweetened Flake CNS 25 LB,—,25 lb box,,25,1,25,,,false
67476,Coconut Sweetened Flake UNIPRO 10 LB,—,10 lb box,,10,1,10,,,false
10002,Coconut Sweetened Medium CNS 10 LB,—,10 lb box,,10,1,10,,,false
67473,Coconut Sweetened Medium UNIPRO 10 LB,—,10 lb box,,10,1,10,,,false
10010,Coconut Toasted Sweetened Flake CNS 10 LB,—,10 lb box,,10,1,10,,,false
10029,Coconut Toasted Sweetened Flake CNS 25 LB,—,25 lb box,,25,1,25,,,false
893,CQ Coconut Sweetened Flake 10 LB,—,10 lb box,,10,1,10,,,false
1614,CQ Granola 10 LB,Most,10 lb box,,10,1,10,,35.00,false
10050,Desiccated Coconut Chips 15 LB,—,UNKNOWN,,,,15,,,false
10049,Desiccated Coconut Chips 25 LB,—,25 lb box,,25,1,25,,,false
10046,Desiccated Fancy Bakers 50 LB,UNMAPPED,50 lb bag,,50,1,50,,,false
10047,Desiccated Flake 50 LB,—,50 lb bag,,50,1,50,,,false
10055,Desiccated Flake 55 LB,—,UNKNOWN,,,,55,,,false
10056,Desiccated Flake 80 LB,—,UNKNOWN,,,,80,,,false
10048,Desiccated Flake CNS 25 LB,—,25 lb box,,25,1,25,,,false
