txn_id,posted_at,product,lot_code,qty_lb,cases,tag
1325,2026-06-11 18:52:05,Granola SS Chocolate Chip 12x10 OZ Case,26-02-25,3375.0000,450.00,SUNSHINE-RECON-2026
1326,2026-06-11 18:52:08,Granola SS Chocolate Chip 12x10 OZ Case,BB021627,4500.0000,600.00,SUNSHINE-RECON-2026
1327,2026-06-11 18:52:11,Granola SS Chocolate Chip 12x10 OZ Case,BB022427 Lot,562.5000,75.00,SUNSHINE-RECON-2026
1328,2026-06-11 18:52:14,Granola SS Chocolate Chip 12x10 OZ Case,BB030327,247.5000,33.00,SUNSHINE-RECON-2026
1329,2026-06-11 18:52:16,Granola SS Chocolate Chip 12x10 OZ Case,BB041327,6750.0000,900.00,SUNSHINE-RECON-2026
1330,2026-06-11 18:52:19,Granola SS Chocolate Chip 12x10 OZ Case,BB041327 Lot,2250.0000,300.00,SUNSHINE-RECON-2026
1331,2026-06-11 18:52:21,Granola SS Chocolate Chip 12x10 OZ Case,BB050427,7740.0000,1032.00,SUNSHINE-RECON-2026
1332,2026-06-11 18:52:24,Granola SS Chocolate Chip 12x10 OZ Case,BB052627,2250.0000,300.00,SUNSHINE-RECON-2026
1333,2026-06-11 18:52:27,Granola SS Chocolate Chip 12x10 OZ Case,BB060127,1125.0000,150.00,SUNSHINE-RECON-2026
1334,2026-06-11 18:52:29,Granola SS Chocolate Chip 12x10 OZ Case,FEB 13 2026,2865.0000,382.00,SUNSHINE-RECON-2026
1335,2026-06-11 18:52:32,Granola SS Chocolate Chip 12x10 OZ Case,FEB 18 2026,2002.5000,267.00,SUNSHINE-RECON-2026
1336,2026-06-11 18:52:34,Granola SS Chocolate Chip 12x10 OZ Case,MAY 01 2026,1125.0000,150.00,SUNSHINE-RECON-2026
1337,2026-06-11 18:52:37,Granola SS Chocolate Chip Low Carb 12x10 OZ Case,B26-0302-003,1050.0000,140.00,SUNSHINE-RECON-2026
1338,2026-06-11 18:52:39,Granola SS Original 12x10 OZ Case,BB022427,900.0000,120.00,SUNSHINE-RECON-2026
1339,2026-06-11 18:52:42,Granola SS Original 12x10 OZ Case,BB030327,2017.5000,269.00,SUNSHINE-RECON-2026
1340,2026-06-11 18:52:44,Granola SS Original 12x10 OZ Case,BB041327,1980.0000,264.00,SUNSHINE-RECON-2026
1341,2026-06-11 18:52:47,Granola SS Original 12x10 OZ Case,FEB 16 2026,1852.5000,247.00,SUNSHINE-RECON-2026
1342,2026-06-11 18:52:49,Granola SS Original Low Carb 12x10 OZ Case,B26-0302-002,1065.0000,142.00,SUNSHINE-RECON-2026
